rank,company,ticker,cik,fiscal_year,executive_name,title,salary,bonus,stock_awards,option_awards,non_equity_incentive,pension_change,other_comp,total_comp
3,Apple Inc.,AAPL,0000320193,2024,Luca Maestri,"Former Senior Vice President,","1,000,000.00",0.00,"22,157,075.00",0.00,"4,000,000.00",0.00,"22,182.00","27,179,257.00"
3,Apple Inc.,AAPL,0000320193,2023,Luca Maestri,"Former Senior Vice President,","1,000,000.00",0.00,"22,323,641.00",0.00,"3,571,150.00",0.00,"41,092.00","26,935,883.00"
3,Apple Inc.,AAPL,0000320193,2022,Luca Maestri,"Former Senior Vice President,","1,000,000.00",0.00,"22,132,015.00",0.00,"4,000,000.00",0.00,"19,783.00","27,151,798.00"
3,Apple Inc.,AAPL,0000320193,2024,Kate Adams,"Senior Vice President, General","1,000,000.00",0.00,"22,157,075.00",0.00,"4,000,000.00",0.00,"22,182.00","27,179,257.00"
3,Apple Inc.,AAPL,0000320193,2023,Kate Adams,"Senior Vice President, General","1,000,000.00",0.00,"22,323,641.00",0.00,"3,571,150.00",0.00,"46,914.00","26,941,705.00"
3,Apple Inc.,AAPL,0000320193,2022,Kate Adams,"Senior Vice President, General","1,000,000.00",0.00,"22,132,015.00",0.00,"4,000,000.00",0.00,"15,208.00","27,147,223.00"
3,Apple Inc.,AAPL,0000320193,2024,Deirdre O’Brien,"Senior Vice President,","1,000,000.00",0.00,"22,157,075.00",0.00,"4,000,000.00",0.00,"22,182.00","27,179,257.00"
3,Apple Inc.,AAPL,0000320193,2023,Deirdre O’Brien,"Senior Vice President,","1,000,000.00",0.00,"22,323,641.00",0.00,"3,571,150.00",0.00,"42,219.00","26,937,010.00"
3,Apple Inc.,AAPL,0000320193,2022,Deirdre O’Brien,"Senior Vice President,","1,000,000.00",0.00,"22,132,015.00",0.00,"4,000,000.00",0.00,"19,783.00","27,151,798.00"
3,Apple Inc.,AAPL,0000320193,2024,Jeff Williams,Chief Operating Officer,"1,000,000.00",0.00,"22,157,075.00",0.00,"4,000,000.00",0.00,"20,737.00","27,177,812.00"
3,Apple Inc.,AAPL,0000320193,2023,Jeff Williams,Chief Operating Officer,"1,000,000.00",0.00,"22,323,641.00",0.00,"3,571,150.00",0.00,"66,435.00","26,961,226.00"
3,Apple Inc.,AAPL,0000320193,2022,Jeff Williams,Chief Operating Officer,"1,000,000.00",0.00,"22,132,015.00",0.00,"4,000,000.00",0.00,"18,337.00","27,150,352.00"
4,UnitedHealth Group Inc.,UNH,0000731766,2023,Andrew Witty,Chief Executive Officer,"1,500,000.00",0.00,0.00,0.00,"15,000,970.00",0.00,"5,000,114.00","1,800,000.00"
4,UnitedHealth Group Inc.,UNH,0000731766,2022,Andrew Witty,Chief Executive Officer,"1,500,000.00",0.00,0.00,0.00,"12,375,672.00",0.00,"4,125,100.00","2,760,000.00"
4,UnitedHealth Group Inc.,UNH,0000731766,2023,John Rex,President and CFO,"1,200,000.00",0.00,0.00,0.00,"10,050,636.00",0.00,"3,350,074.00","1,440,000.00"
4,UnitedHealth Group Inc.,UNH,0000731766,2022,John Rex,President and CFO,"1,200,000.00",0.00,0.00,0.00,"9,300,612.00",0.00,"3,100,109.00","2,200,000.00"
4,UnitedHealth Group Inc.,UNH,0000731766,2023,Brian Thompson,"Former Executive Vice President and CEO, UnitedHealthcare","1,000,000.00",0.00,0.00,0.00,"6,000,585.00",0.00,"2,000,126.00","1,200,000.00"
4,UnitedHealth Group Inc.,UNH,0000731766,2022,Brian Thompson,"Former Executive Vice President and CEO, UnitedHealthcare","1,000,000.00",0.00,0.00,0.00,"5,250,185.00",0.00,"1,750,060.00","1,840,000.00"
5,Berkshire Hathaway Inc.,BRK.B,0001067983,2024,Warren E. Buffett,,0.00,"100,000.00",0.00,0.00,0.00,0.00,0.00,"405,111.00"
5,Berkshire Hathaway Inc.,BRK.B,0001067983,2023,Chief Executive Officer/Chairman,,"100,000.00",0.00,0.00,0.00,0.00,0.00,0.00,"413,595.00"
5,Berkshire Hathaway Inc.,BRK.B,0001067983,2022,Chief Executive Officer/Chairman,,"100,000.00",0.00,0.00,0.00,0.00,0.00,0.00,"401,589.00"
5,Berkshire Hathaway Inc.,BRK.B,0001067983,2024,Gregory E. Abel,,"21,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,"21,017,250.00"
5,Berkshire Hathaway Inc.,BRK.B,0001067983,2023,Vice Chairman-Non Insurance Operations,,"20,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,"20,016,500.00"
5,Berkshire Hathaway Inc.,BRK.B,0001067983,2022,Vice Chairman-Non Insurance Operations,,"16,000,000.00","3,000,000.00",0.00,0.00,0.00,0.00,0.00,"19,015,250.00"
5,Berkshire Hathaway Inc.,BRK.B,0001067983,2024,Ajit Jain,,"21,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,"21,017,250.00"
5,Berkshire Hathaway Inc.,BRK.B,0001067983,2023,Vice Chairman-Insurance Operations,,"20,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,"20,016,500.00"
5,Berkshire Hathaway Inc.,BRK.B,0001067983,2022,Vice Chairman-Insurance Operations,,"16,000,000.00","3,000,000.00",0.00,0.00,0.00,0.00,0.00,"19,015,250.00"
5,Berkshire Hathaway Inc.,BRK.B,0001067983,2024,Marc D. Hamburg,,"4,062,500.00",0.00,0.00,0.00,0.00,0.00,0.00,"4,081,046.00"
5,Berkshire Hathaway Inc.,BRK.B,0001067983,2023,Senior Vice President/CFO,,"3,812,500.00",0.00,0.00,0.00,0.00,0.00,0.00,"3,853,461.00"
5,Berkshire Hathaway Inc.,BRK.B,0001067983,2022,Senior Vice President/CFO,,"3,567,300.00",0.00,0.00,0.00,0.00,0.00,0.00,"3,584,630.00"
6,CVS Health Corp.,CVS,0000064803,2024,J. David Joyner,President and Chief Executive,"1,103,495.00",0.00,"4,499,890.00","11,999,997.00",0.00,0.00,"205,410.00","17,808,792.00"
6,CVS Health Corp.,CVS,0000064803,2024,Thomas F. Cowhey,Executive Vice President,"998,387.00",0.00,"4,799,848.00","1,199,982.00","436,000.00","1,713.00","208,434.00","7,644,364.00"
6,CVS Health Corp.,CVS,0000064803,2023,Thomas F. Cowhey,Executive Vice President,"771,250.00",0.00,"2,187,397.00","562,490.00","788,000.00","2,095.00","268,705.00","4,579,937.00"
6,CVS Health Corp.,CVS,0000064803,2024,Heidi B. Capozzi,Executive Vice President,"265,625.00","1,500,000.00","4,999,989.00",0.00,0.00,0.00,"85,134.00","6,850,748.00"
6,CVS Health Corp.,CVS,0000064803,2024,Tilak Mandadi,"Executive Vice President Ventures,","1,000,000.00",0.00,"8,199,843.00","1,299,989.00","583,000.00",0.00,"278,511.00","11,361,343.00"
6,CVS Health Corp.,CVS,0000064803,2023,Tilak Mandadi,"Executive Vice President Ventures,","1,000,000.00",0.00,"4,874,990.00","1,624,993.00","1,246,000.00",0.00,"135,862.00","8,881,845.00"
6,CVS Health Corp.,CVS,0000064803,2022,Tilak Mandadi,"Executive Vice President Ventures,","437,500.00","2,773,375.00","9,799,983.00",0.00,"981,000.00",0.00,0.00,"13,991,858.00"
6,CVS Health Corp.,CVS,0000064803,2024,Prem S. Shah,Executive Vice President and,"972,917.00",0.00,"4,799,848.00","7,199,977.00",0.00,0.00,"293,113.00","13,265,855.00"
6,CVS Health Corp.,CVS,0000064803,2023,Prem S. Shah,Executive Vice President and,"950,000.00",0.00,"4,499,937.00","1,499,989.00","1,421,000.00",0.00,"211,440.00","8,582,366.00"
6,CVS Health Corp.,CVS,0000064803,2022,Prem S. Shah,Executive Vice President and,"916,667.00",0.00,"4,999,820.00","999,999.00","1,949,000.00",0.00,"149,732.00","9,015,218.00"
6,CVS Health Corp.,CVS,0000064803,2024,Karen S. Lynch,Former President and Chief,"1,191,781.00",0.00,"14,399,857.00","3,599,985.00","2,383,562.00",0.00,"1,856,281.00","23,431,466.00"
6,CVS Health Corp.,CVS,0000064803,2023,Karen S. Lynch,Former President and Chief,"1,500,000.00",0.00,"12,374,971.00","4,124,992.00","2,992,000.00",0.00,"623,071.00","21,615,034.00"
6,CVS Health Corp.,CVS,0000064803,2022,Karen S. Lynch,Former President and Chief,"1,487,500.00",0.00,"12,374,946.00","4,124,984.00","2,975,000.00",0.00,"354,625.00","21,317,055.00"
8,Alphabet Inc.,GOOGL,0001652044,2024,Sundar,Pichai,"2,015,385.00",0.00,0.00,0.00,"405,630.00",0.00,0.00,"8,304,028.00"
8,Alphabet Inc.,GOOGL,0001652044,2023,Sundar,Pichai,"2,000,000.00",0.00,0.00,0.00,0.00,0.00,0.00,"6,802,824.00"
8,Alphabet Inc.,GOOGL,0001652044,2022,Sundar,Pichai,"2,000,000.00",0.00,0.00,0.00,"218,037,684.00",0.00,0.00,"5,947,461.00"
8,Alphabet Inc.,GOOGL,0001652044,2024,Anat,Ashkenazi,"423,077.00",0.00,"9,900,000.00",0.00,"38,522,579.00",0.00,"850,000.00","282,479.00"
8,Alphabet Inc.,GOOGL,0001652044,2023,Anat,Ashkenazi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Alphabet Inc.,GOOGL,0001652044,2022,Anat,Ashkenazi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Alphabet Inc.,GOOGL,0001652044,2024,Ruth,M. Porat,"1,007,692.00",0.00,0.00,0.00,"27,143,064.00",0.00,"2,000,000.00","15,671.00"
8,Alphabet Inc.,GOOGL,0001652044,2023,Ruth,M. Porat,"1,000,000.00",0.00,0.00,0.00,"24,831,430.00",0.00,"1,500,000.00","15,700.00"
8,Alphabet Inc.,GOOGL,0001652044,2022,Ruth,M. Porat,"1,000,000.00",0.00,0.00,0.00,"22,663,723.00",0.00,"775,000.00","15,046.00"
8,Alphabet Inc.,GOOGL,0001652044,2024,Prabhakar,Raghavan,"1,007,692.00",0.00,0.00,0.00,"43,972,310.00",0.00,"2,000,000.00","12,164.00"
8,Alphabet Inc.,GOOGL,0001652044,2023,Prabhakar,Raghavan,"1,000,000.00",0.00,0.00,0.00,"39,438,939.00",0.00,"1,500,000.00","11,737.00"
8,Alphabet Inc.,GOOGL,0001652044,2022,Prabhakar,Raghavan,"1,000,000.00",0.00,0.00,0.00,"35,295,496.00",0.00,"775,000.00","10,329.00"
8,Alphabet Inc.,GOOGL,0001652044,2024,Philipp,Schindler,"1,007,692.00",0.00,0.00,0.00,"43,972,310.00",0.00,"2,000,000.00","44,007.00"
8,Alphabet Inc.,GOOGL,0001652044,2023,Philipp,Schindler,"1,000,000.00",0.00,0.00,0.00,"39,438,939.00",0.00,"1,500,000.00","14,032.00"
8,Alphabet Inc.,GOOGL,0001652044,2022,Philipp,Schindler,"1,000,000.00",0.00,0.00,0.00,"35,295,496.00",0.00,"775,000.00","22,200.00"
8,Alphabet Inc.,GOOGL,0001652044,2024,Kent,Walker,"1,007,692.00",0.00,0.00,0.00,"27,143,064.00",0.00,"2,000,000.00","12,004.00"
8,Alphabet Inc.,GOOGL,0001652044,2023,Kent,Walker,"1,000,000.00",0.00,0.00,0.00,"24,831,430.00",0.00,"1,500,000.00","11,737.00"
8,Alphabet Inc.,GOOGL,0001652044,2022,Kent,Walker,"1,000,000.00",0.00,0.00,0.00,"22,663,723.00",0.00,"775,000.00","12,541.00"
9,McKesson Corp.,MCK,0000927653,2025,Brian S. TylerChief Executive Officer,,"1,541,667.00",0.00,0.00,0.00,"14,500,512.00",0.00,"3,669,167.00","450,368.00"
9,McKesson Corp.,MCK,0000927653,2024,Brian S. TylerChief Executive Officer,,"1,490,000.00",0.00,0.00,0.00,"13,500,408.00",0.00,"3,142,410.00","864,725.00"
9,McKesson Corp.,MCK,0000927653,2023,Brian S. TylerChief Executive Officer,,"1,433,333.00",0.00,0.00,0.00,"13,000,596.00",0.00,"5,016,667.00","770,729.00"
9,McKesson Corp.,MCK,0000927653,2025,Britt J. VitaloneExecutive VicePresident and ChiefFinancial Officer,,"1,025,000.00",0.00,0.00,0.00,"5,000,853.00",0.00,"1,524,688.00","131,640.00"
9,McKesson Corp.,MCK,0000927653,2024,Britt J. VitaloneExecutive VicePresident and ChiefFinancial Officer,,"937,500.00",0.00,0.00,0.00,"4,350,396.00",0.00,"1,335,938.00","158,827.00"
9,McKesson Corp.,MCK,0000927653,2023,Britt J. VitaloneExecutive VicePresident and ChiefFinancial Officer,,"870,834.00",0.00,0.00,0.00,"4,000,708.00",0.00,"2,002,917.00","163,254.00"
9,McKesson Corp.,MCK,0000927653,2025,Michele LauExecutive Vice President and Chief Legal Officer,,"720,417.00",0.00,0.00,0.00,"3,001,093.00",0.00,"857,296.00","647,899.00"
9,McKesson Corp.,MCK,0000927653,2024,Michele LauExecutive Vice President and Chief Legal Officer,,"175,000.00",0.00,"1,500,000.00",0.00,"6,851,529.00",0.00,"199,500.00","80,225.00"
9,McKesson Corp.,MCK,0000927653,2025,LeAnn B. SmithExecutive Vice Presidentand Chief HumanResources Officer,,"658,750.00",0.00,0.00,0.00,"2,200,981.00",0.00,"783,913.00","74,255.00"
9,McKesson Corp.,MCK,0000927653,2024,LeAnn B. SmithExecutive Vice Presidentand Chief HumanResources Officer,,"635,418.00",0.00,"100,000.00",0.00,"2,000,379.00",0.00,"724,377.00","80,941.00"
9,McKesson Corp.,MCK,0000927653,2023,LeAnn B. SmithExecutive Vice Presidentand Chief HumanResources Officer,,"515,083.00",0.00,"100,000.00",0.00,"2,050,834.00",0.00,"676,177.00","33,435.00"
9,McKesson Corp.,MCK,0000927653,2025,Thomas L. RodgersExecutive Vice President and Chief Strategy and Business Development Officer,,"631,117.00",0.00,0.00,0.00,"1,751,295.00",0.00,"751,029.00","79,866.00"
9,McKesson Corp.,MCK,0000927653,2024,Thomas L. RodgersExecutive Vice President and Chief Strategy and Business Development Officer,,"611,750.00",0.00,0.00,0.00,"1,750,716.00",0.00,"697,395.00","119,115.00"
9,McKesson Corp.,MCK,0000927653,2023,Thomas L. RodgersExecutive Vice President and Chief Strategy and Business Development Officer,,"589,167.00",0.00,0.00,0.00,"1,450,503.00",0.00,"1,178,334.00","82,201.00"
10,Cencora Inc.,COR,0001140859,2024,"Steven H. Collis(4)Chairman, President and",Chief Executive Officer,"1,464,959.00",0.00,"12,500,101.00",0.00,"4,101,886.00",0.00,"408,225.00","18,475,171.00"
10,Cencora Inc.,COR,0001140859,2023,"Steven H. Collis(4)Chairman, President and",Chief Executive Officer,"1,400,000.00",0.00,"12,500,174.00",0.00,"3,231,550.00",0.00,"379,516.00","17,511,240.00"
10,Cencora Inc.,COR,0001140859,2022,"Steven H. Collis(4)Chairman, President and",Chief Executive Officer,"1,400,000.00",0.00,"11,250,120.00",0.00,"3,215,332.00",0.00,"870,300.00","16,735,752.00"
10,Cencora Inc.,COR,0001140859,2024,James F. ClearyExecutive Vice President and Chief Financial Officer,,"885,943.00",0.00,"6,600,508.00",0.00,"1,417,509.00",0.00,"100,000.00","9,003,960.00"
10,Cencora Inc.,COR,0001140859,2023,James F. ClearyExecutive Vice President and Chief Financial Officer,,"795,000.00",0.00,"3,500,270.00",0.00,"1,048,605.00",0.00,"105,498.00","5,449,373.00"
10,Cencora Inc.,COR,0001140859,2022,James F. ClearyExecutive Vice President and Chief Financial Officer,,"770,000.00",0.00,"3,200,064.00",0.00,"1,071,777.00",0.00,"279,860.00","5,321,701.00"
10,Cencora Inc.,COR,0001140859,2024,Robert P. Mauch(4)Executive Vice President and Chief Operating Officer,,"1,039,959.00",0.00,"6,000,127.00",0.00,"2,079,919.00",0.00,"133,187.00","9,253,192.00"
10,Cencora Inc.,COR,0001140859,2023,Robert P. Mauch(4)Executive Vice President and Chief Operating Officer,,"975,000.00",0.00,"5,000,227.00",0.00,"1,607,531.00",0.00,"115,092.00","7,697,850.00"
10,Cencora Inc.,COR,0001140859,2022,Robert P. Mauch(4)Executive Vice President and Chief Operating Officer,,"850,000.00",0.00,"3,500,188.00",0.00,"1,183,131.00",0.00,"285,423.00","5,818,742.00"
10,Cencora Inc.,COR,0001140859,2024,Elizabeth S. CampbellExecutive Vice President and Chief Legal Officer,,"721,967.00",0.00,"5,700,587.00",0.00,"1,155,148.00",0.00,"91,362.00","7,669,064.00"
10,Cencora Inc.,COR,0001140859,2023,Elizabeth S. CampbellExecutive Vice President and Chief Legal Officer,,"670,000.00",0.00,"2,400,059.00",0.00,"883,730.00",0.00,"73,443.00","4,027,232.00"
10,Cencora Inc.,COR,0001140859,2024,Silvana BattagliaExecutive Vice President and Chief Human Resources Officer,,"625,984.00",0.00,"3,600,373.00",0.00,"1,001,574.00",0.00,"92,281.00","5,320,212.00"
10,Cencora Inc.,COR,0001140859,2023,Silvana BattagliaExecutive Vice President and Chief Human Resources Officer,,"600,000.00",0.00,"1,500,116.00",0.00,"791,400.00",0.00,"84,790.00","2,976,306.00"
10,Cencora Inc.,COR,0001140859,2022,Silvana BattagliaExecutive Vice President and Chief Human Resources Officer,,"580,000.00",0.00,"1,900,156.00",0.00,"807,313.00",0.00,"192,287.00","3,479,756.00"
11,Costco Wholesale Corp.,COST,0000909832,2025,Ron M. Vachris,,"1,183,270.00",0.00,0.00,0.00,"12,036,800.00",0.00,"600,000.00","53,896.00"
11,Costco Wholesale Corp.,COST,0000909832,2024,"Chief Executive Officer, President and Director",,"1,078,077.00",0.00,0.00,0.00,"10,592,029.00",0.00,"434,333.00","69,138.00"
11,Costco Wholesale Corp.,COST,0000909832,2023,"Chief Executive Officer, President and Director",,"937,500.00",0.00,0.00,0.00,"7,151,883.00",0.00,"248,000.00","62,801.00"
11,Costco Wholesale Corp.,COST,0000909832,2025,Gary Millerchip,,"915,115.00",0.00,"16,000.00",0.00,"5,453,713.00",0.00,"184,000.00",0.00
11,Costco Wholesale Corp.,COST,0000909832,2024,"Executive Vice President, Chief Financial Officer",,"456,923.00",0.00,"4,008,615.00",0.00,"9,651,671.00",0.00,"79,693.00",0.00
11,Costco Wholesale Corp.,COST,0000909832,2025,Russ D. Miller,,"765,192.00",0.00,"16,000.00",0.00,"4,123,770.00",0.00,"184,000.00","27,861.00"
11,Costco Wholesale Corp.,COST,0000909832,2024,"Senior Executive Vice President, COO - U.S. and Mexico Operations",,"743,231.00",0.00,"16,000.00",0.00,"4,212,982.00",0.00,"148,000.00","32,763.00"
11,Costco Wholesale Corp.,COST,0000909832,2023,"Senior Executive Vice President, COO - U.S. and Mexico Operations",,"728,135.00",0.00,"16,000.00",0.00,"4,004,156.00",0.00,"108,000.00","32,752.00"
11,Costco Wholesale Corp.,COST,0000909832,2025,Pierre Riel7,,"713,654.00",0.00,"16,000.00",0.00,"4,123,770.00",0.00,"184,000.00",361.00
11,Costco Wholesale Corp.,COST,0000909832,2024,"Executive Vice President, COO - International Division",,"680,250.00",0.00,"16,000.00",0.00,"4,212,982.00",0.00,"148,000.00",0.00
11,Costco Wholesale Corp.,COST,0000909832,2023,"Executive Vice President, COO - International Division",,"679,258.00",0.00,"16,000.00",0.00,"3,629,438.00",0.00,"108,000.00",0.00
11,Costco Wholesale Corp.,COST,0000909832,2025,Javier Polit,,"541,116.00",0.00,"3,016,000.00",0.00,"3,670,902.00",0.00,"184,000.00",0.00
11,Costco Wholesale Corp.,COST,0000909832,2024,"Executive Vice President, Chief Information and Digital Officer",,"370,000.00",0.00,"3,112,308.00",0.00,"6,140,740.00",0.00,"113,846.00",0.00
11,Costco Wholesale Corp.,COST,0000909832,2025,Richard A. Galanti8,,"502,079.00",0.00,0.00,0.00,"5,260,598.00",0.00,0.00,"594,005.00"
11,Costco Wholesale Corp.,COST,0000909832,2024,Former Executive Vice President,,"916,615.00",0.00,"16,000.00",0.00,"5,374,408.00",0.00,"148,000.00","703,348.00"
11,Costco Wholesale Corp.,COST,0000909832,2023,Former Executive Vice President,,"919,231.00",0.00,"16,000.00",0.00,"5,108,767.00",0.00,"108,000.00","612,858.00"
12,Microsoft Corp.,MSFT,0000789019,2025,Satya Nadella Chairman and Chief Executive Officer,,"2,500,000.00",0.00,0.00,0.00,"84,245,496.00",0.00,"9,555,000.00","196,294.00"
12,Microsoft Corp.,MSFT,0000789019,2024,Satya Nadella Chairman and Chief Executive Officer,,"2,500,000.00",0.00,0.00,0.00,"71,236,392.00",0.00,"5,200,000.00","169,791.00"
12,Microsoft Corp.,MSFT,0000789019,2023,Satya Nadella Chairman and Chief Executive Officer,,"2,500,000.00",0.00,0.00,0.00,"39,236,137.00",0.00,"6,414,750.00","361,650.00"
12,Microsoft Corp.,MSFT,0000789019,2025,Amy E. Hood Executive Vice President and Chief Financial Officer,,"1,000,000.00",0.00,0.00,0.00,"25,037,360.00",0.00,"3,421,000.00","23,191.00"
12,Microsoft Corp.,MSFT,0000789019,2024,Amy E. Hood Executive Vice President and Chief Financial Officer,,"1,000,000.00",0.00,0.00,0.00,"21,094,956.00",0.00,"3,642,750.00","61,500.00"
12,Microsoft Corp.,MSFT,0000789019,2023,Amy E. Hood Executive Vice President and Chief Financial Officer,,"1,000,000.00",0.00,0.00,0.00,"16,450,701.00",0.00,"2,295,250.00","156,946.00"
12,Microsoft Corp.,MSFT,0000789019,2025,Judson B. Althoff Executive Vice President and CEO Microsoft Commercial,,"993,333.00",0.00,0.00,0.00,"23,708,619.00",0.00,"3,398,194.00","98,588.00"
12,Microsoft Corp.,MSFT,0000789019,2024,Judson B. Althoff Executive Vice President and CEO Microsoft Commercial,,"960,000.00",0.00,0.00,0.00,"18,515,353.00",0.00,"3,497,040.00","77,934.00"
